[00:02:10] |Paraíso|UCOW|Not UCOW|0
[00:02:10] |Andog|Er6ick|Reginald|Chu|Nacho|Percy|Ryan|lando|MȀMMȎŦĤƓȀMƐȐ|Techtonic
[00:02:12] |132.54|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Nacho|(-27.64, 1.09, 7.99)|UCOW|0|0|250|(0.75, -0.35, 0.57)
[00:02:12] |132.54|Techtonic|Widowmaker|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Ryan|(-62.25, -1.98, 40.34)|Not UCOW|0|0|200|(0.61, 0.76, -0.21)
[00:02:12] |132.54|Ryan|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Chu|(-60.18, -1.51, 41.19)|Not UCOW|0|0|200|(0.52, -0.03, -0.85)
[00:02:12] |132.54|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|lando|(-22.88, 0.34, 7.97)|UCOW|6.25|0|200|(-0.82, -0.06, 0.56)
[00:02:12] |132.54|MȀMMȎŦĤƓȀMƐȐ|Mercy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Ryan|(-64.18, -1.25, 40.37)|Not UCOW|0|0|200|(0.99, -0.12, 0.02)
[00:02:13] |133.54|False|0
[00:02:13] |133.55|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-26.14, 1.10, 7.27)|UCOW|0|0|200|(0.50, -0.26, 0.82)
[00:02:13] |133.55|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-18.54, 5.75, 4.95)|UCOW|0|0|200|(0.08, -0.28, 0.96)
[00:02:13] |133.55|Percy|Zarya|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Nacho|(-55.32, -0.82, 35.18)|Not UCOW|0|0|475|(0.72, -0.18, -0.67)
[00:02:13] |133.55|lando|Ashe|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Nacho|(-57.18, -1.06, 36.15)|Not UCOW|0|0|200|(0.81, -0.12, -0.58)
[00:02:13] |133.55|Andog|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Ryan|(-20.30, 5.75, 20.15)|UCOW|0|0|425|(-0.79, -0.19, 0.59)
[00:02:13] |133.55|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-27.08, 1.09, 8.40)|UCOW|0|0|250|(0.75, -0.35, 0.57)
[00:02:13] |133.55|Techtonic|Widowmaker|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-55.28, 4.46, 37.86)|Not UCOW|0|0|200|(0.86, 0.34, -0.37)
[00:02:13] |133.55|Ryan|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Percy|(-55.47, -2.07, 39.34)|Not UCOW|0|0|200|(0.05, -0.02, -1.00)
[00:02:13] |133.55|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Ryan|(-20.93, 0.04, 6.43)|UCOW|5.24|0|200|(-0.31, -0.04, 0.95)
[00:02:13] |133.55|MȀMMȎŦĤƓȀMƐȐ|Mercy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Nacho|(-59.44, -2.00, 38.58)|Not UCOW|0|0|200|(0.73, -0.06, -0.68)
[00:02:14] |134.54|False|0
[00:02:14] |134.56|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-26.14, 1.10, 7.27)|UCOW|0|0|200|(0.56, -0.34, 0.76)
[00:02:14] |134.56|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-21.88, 6.71, 8.46)|UCOW|0|0|200|(-0.31, -0.19, 0.93)
[00:02:14] |134.56|Percy|Zarya|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-52.35, -1.00, 30.65)|Not UCOW|0|0|475|(0.96, -0.10, -0.26)
[00:02:14] |134.56|lando|Ashe|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Percy|(-54.38, -1.00, 32.15)|Not UCOW|0|0|200|(0.85, -0.08, -0.52)
[00:02:14] |134.56|Andog|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Techtonic|(-19.21, 5.75, 21.30)|UCOW|0|0|425|(-0.88, 0.25, 0.40)
[00:02:14] |134.56|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-26.37, 0.10, 9.57)|UCOW|0|0|250|(0.82, -0.24, 0.52)
[00:02:14] |134.56|Techtonic|Widowmaker|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-51.71, 17.95, 33.98)|Not UCOW|11.22|0|200|(0.88, -0.31, -0.36)
[00:02:14] |134.56|Ryan|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-57.78, -0.76, 35.10)|Not UCOW|0|0|200|(0.89, 0.16, -0.42)
[00:02:14] |134.56|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-18.56, -0.15, 4.88)|UCOW|4.23|0|200|(-0.24, -0.01, 0.97)
[00:02:14] |134.56|MȀMMȎŦĤƓȀMƐȐ|Mercy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-56.78, -1.00, 34.50)|Not UCOW|0|0|200|(0.90, 0.05, -0.44)
[00:02:15] |135.55|False|0
[00:02:15] |135.57|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-26.14, 1.10, 7.27)|UCOW|0|0|200|(0.56, -0.34, 0.76)
[00:02:15] |135.57|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Andog|(-23.64, 5.75, 8.69)|UCOW|0|0|200|(0.23, -0.14, 0.96)
[00:02:15] |135.57|Percy|Zarya|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-48.17, 0.96, 29.25)|Not UCOW|0|0|475|(0.95, 0.15, -0.28)
[00:02:15] |135.57|lando|Ashe|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-52.24, -0.67, 27.58)|Not UCOW|0|0|200|(1.00, 0.09, 0.03)
[00:02:15] |135.57|Andog|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Techtonic|(-18.27, 5.75, 24.06)|UCOW|0|0|425|(-0.97, 0.13, 0.21)
[00:02:15] |135.57|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-25.98, 0.10, 10.30)|UCOW|0|0|250|(0.81, -0.26, 0.52)
[00:02:15] |135.57|Techtonic|Widowmaker|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-52.85, 14.24, 31.43)|Not UCOW|10.21|0|200|(0.94, -0.24, -0.25)
[00:02:15] |135.57|Ryan|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-55.16, -0.29, 33.32)|Not UCOW|0|0|200|(0.94, 0.15, -0.30)
[00:02:15] |135.57|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-16.10, 0.53, 1.67)|UCOW|3.23|0|200|(-0.47, 0.04, 0.88)
[00:02:15] |135.57|MȀMMȎŦĤƓȀMƐȐ|Mercy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|lando|(-53.25, -1.00, 31.55)|Not UCOW|0|0|200|(0.40, 0.01, -0.91)
[00:02:16] |136.56|False|0
[00:02:16] |136.57|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-26.14, 1.10, 7.27)|UCOW|0|0|200|(0.56, -0.34, 0.75)
[00:02:16] |136.57|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-23.57, 5.75, 9.28)|UCOW|0|0|200|(0.23, -0.13, 0.96)
[00:02:16] |136.57|Percy|Zarya|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-43.07, 0.80, 29.74)|Not UCOW|0|0|475|(0.91, 0.22, -0.35)
[00:02:16] |136.57|lando|Ashe|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Percy|(-47.56, 0.95, 25.84)|Not UCOW|0|0|200|(0.73, -0.14, 0.67)
[00:02:16] |136.57|Andog|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Ryan|(-18.96, 5.75, 21.39)|UCOW|0|0|425|(-0.95, -0.14, 0.27)
[00:02:16] |136.57|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Andog|(-26.19, 0.10, 10.12)|UCOW|0|0|250|(0.76, -0.11, 0.64)
[00:02:16] |136.57|Techtonic|Widowmaker|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Ryan|(-56.32, -0.74, 34.88)|Not UCOW|9.20|0|200|(-0.71, -0.22, 0.67)
[00:02:16] |136.57|Ryan|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|Andog|(-57.48, -0.85, 31.05)|Not UCOW|0|0|200|(0.95, 0.18, -0.24)
[00:02:16] |136.57|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Percy|(-17.22, 0.00, 0.09)|UCOW|2.22|0|200|(-0.41, 0.03, 0.91)
