[00:00:55] |Oasis|3|Team 1|Team 2|2
[00:00:55] |Reginald|Zshrimpman|Chu|Nacho|Er6ick|ehflep|Guillotine|Flexecution|melo|trasherlyn
[00:00:57] |57.07|Er6ick|Symmetra|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Zshrimpman|(-175.77, 20.00, 71.45)|Team 1|0|11.77|225|(0.10, -0.17, -0.98)|0|225
[00:00:57] |57.07|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Reginald|(-175.87, 20.00, 78.22)|Team 1|0|0|250|(0.23, -0.12, -0.97)|0|250
[00:00:57] |57.07|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ehflep|(-175.35, 19.90, 69.48)|Team 1|0|0|200|(0.08, -0.19, -0.98)|0|200
[00:00:57] |57.07|Guillotine|Baptiste|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|trasherlyn|(-188.81, 20.05, -64.69)|Team 2|0|0|200|(0.06, -0.13, -0.99)|2.05|200
[00:00:57] |57.07|ehflep|Reinhardt|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Reginald|(-186.93, 18.11, -62.67)|Team 2|0|0|625|(0.21, -0.06, 0.98)|0.11|625
[00:00:57] |57.07|trasherlyn|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Guillotine|(-186.92, 21.03, -70.52)|Team 2|0|0|200|(-0.31, -0.30, 0.90)|1.03|200
[00:00:58] |58.06|0|0
[00:00:58] |58.08|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Er6ick|(-171.85, 15.00, 39.60)|Team 1|0|0|200|(-0.95, -0.17, 0.26)|0|200
[00:00:58] |58.08|Flexecution|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Reginald|(-191.11, 18.00, -55.94)|Team 2|0|0|250|(0.17, -0.11, 0.98)|0|250
[00:00:58] |58.08|Zshrimpman|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Flexecution|(-173.00, 16.10, 36.45)|Team 1|0|0|450|(-0.38, -0.22, -0.90)|1.10|450
[00:00:58] |58.08|melo|Cassidy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Er6ick|(-195.03, 20.00, -81.20)|Team 2|0|0|225|(-0.01, -0.00, 1.00)|0|225
[00:00:58] |58.08|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Reginald|(-175.80, 20.00, 74.05)|Team 1|0|0|200|(0.10, -0.17, -0.98)|0|200
[00:00:58] |58.08|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Reginald|(-175.12, 20.51, 71.36)|Team 1|0|0|250|(0.07, -0.19, -0.98)|0.51|250
[00:00:58] |58.08|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ehflep|(-172.61, 15.97, 35.26)|Team 1|0|0|200|(-0.12, -0.16, -0.98)|0.97|200
